observation,workflow,ingest_demand,duration,channels,coarse_channels,demand,workflow_type,graph_type,data,data_distribution,nodes,dir,telescope,timestep,method,time
hpso15,workflows/-5643670302229644219_2024-11-10_22-21-16,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,heft,168
hpso13,workflows/-6945540424978040141_2024-11-10_22-18-30,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,heft,250
hpso13,workflows/-6945540424978040141_2024-11-10_22-07-45,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,heft,1750
hpso13,workflows/-6945540424978040141_2024-11-10_22-18-30,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,heft,16487
hpso22,workflows/2768866859543975590_2024-11-10_22-23-56,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,heft,22349
hpso15,workflows/-5643670302229644219_2024-11-10_22-21-16,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,heft,146
hpso32,workflows/-2887030758418618714_2024-11-10_22-26-42,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,heft,112
hpso15,workflows/-5643670302229644219_2024-11-10_22-10-30,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,heft,251
hpso15,workflows/-5643670302229644219_2024-11-10_22-21-16,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,heft,836
hpso22,workflows/2768866859543975590_2024-11-10_22-23-56,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,heft,4414
hpso22,workflows/2768866859543975590_2024-11-10_22-13-06,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,heft,26539
hpso32,workflows/-2887030758418618714_2024-11-10_22-15-56,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,heft,214
hpso22,workflows/2768866859543975590_2024-11-10_22-23-56,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,heft,387913
hpso15,workflows/-5643670302229644219_2024-11-10_22-10-30,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,heft,150
hpso32,workflows/-2887030758418618714_2024-11-10_22-26-42,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,heft,1013
hpso13,workflows/-6945540424978040141_2024-11-10_21-57-52,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,heft,5834
hpso22,workflows/2768866859543975590_2024-11-10_22-13-06,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,heft,4432
hpso13,workflows/-6945540424978040141_2024-11-10_22-07-45,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,heft,654
hpso32,workflows/-2887030758418618714_2024-11-10_22-15-56,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,heft,90
hpso13,workflows/-6945540424978040141_2024-11-10_22-18-30,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,heft,2228
hpso15,workflows/-5643670302229644219_2024-11-10_22-00-24,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,heft,608
hpso32,workflows/-2887030758418618714_2024-11-10_22-05-22,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,heft,196
hpso15,workflows/-5643670302229644219_2024-11-10_22-10-30,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,heft,168
hpso22,workflows/2768866859543975590_2024-11-10_22-02-55,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,heft,62990
hpso13,workflows/-6945540424978040141_2024-11-10_22-07-45,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,heft,250
hpso32,workflows/-2887030758418618714_2024-11-10_22-05-22,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,heft,740
hpso22,workflows/2768866859543975590_2024-11-10_22-13-06,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,heft,8862
